Название вакансии,URL,Название комании,Описание
Python Developer,https://sergievposad.hh.ru/vacancy/31550822?query=python, LLC ICONIC,Разработка web сервисов на протоколе GraphQL. Разработка микросервисов. Интеграции с blockchain нодами.Опыт коммерческой разработки от 4х лет. Опыт разработки на Python 3 не менее 3 лет (желательно на версии выше...
Разработчик Python,https://sergievposad.hh.ru/vacancy/31624245?query=python,ОАО Оператор систем пенсионного обеспечения и страхования,"Проектирование и разработка backend - сервисов на языке Python. Написание unit-тестов. - понимание смежных областей разработки ПО (управление, анализ требований, проектирование...Отличные знания Python 3. Владение общими вопросами программирования: шаблоны проектирования, структуры данных, алгоритмы. Опыт использования систем контроля версий. "
Data Engineering Team Lead (Python / C++),https://sergievposad.hh.ru/vacancy/31522998?query=python, DataFork,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации...Умение читать / писать код на python и С++. Опыт разработки в среде linux. Опыт руководства командой 3-5 человек. "
Разработчик Python,https://sergievposad.hh.ru/vacancy/30451399?query=python, Открытые Технологии,"Реализация нового функционала. Проведение code-review. Анализ чужого кода. Участие в проектировании архитектуры системы.Знание языка Python (версия 2 и 3). Опыт работы с фреймворками: Tornado (async), Flask, Bottle. Опыт написания SQL запросов. "
Разработчик Python,https://sergievposad.hh.ru/vacancy/31194079?query=python,ООО «Баланс-Платформа»,"Реализация банковских продуктов на языке Python (у нас версия 3+). Участие в построении технической архитектуры крупного проекта, выработка решений...Опыт программирования на Python 2-х лет и знание его экосистемы. Опыт проектирования и реализации (хотя бы в составе команды..."
Разработчик Python,https://sergievposad.hh.ru/vacancy/31617755?query=python, NAJET,"Работа по ТЗ в составе группы участников. Качественная разработка и отладка программного кода. Качественное внедрение проектов.Знание языка Python (версия 3/2). Опыт работы с фреймворками: Tornado (async), Flask, Django. Опыт написания SQL запросов. "
Программист Python,https://sergievposad.hh.ru/vacancy/31445859?query=python,ООО ВойсЛинк,"Разработка программного обеспечения встраиваемых систем под Linux и десктопных приложений под Windows. Поддержка кода, написание сопроводительной документации.Опыт коммерческой разработки на Python от 2-х лет. Умение проверять свой код. Опыт работы с реляционными базами данных. "
Python разработчик,https://sergievposad.hh.ru/vacancy/27367094?query=python, Group-IB,"Разработка бекэнд-части веб-приложений на языке Python (DJango framework). Проектирование и реализация API разрабатываемых систем. Документирование разрабатываемых AP. Законченное высшее образование в техническом вузе. Хороший опыт программирования на Python, понимание концепций языка и Python way. Опыт написания модулей..."
Разработчик Python,https://sergievposad.hh.ru/vacancy/31510743?query=python,ООО СФ Лабс,"Проектирование и реализация веб и API-сервисов. Работа над веб-приложениями: доработка существующих и написание новых. Ожидается высокая самостоятельность в...Опыт проектирования и реализации веб-сервисов с нуля. Отличное знание Python 3, Django (включая ORM). Опыт работы с HTML/CSS..."
Python разработчик,https://sergievposad.hh.ru/vacancy/31816890?query=python,ООО ЗОЖ,Разработка новых и развитие существующих сервисов нашей платежной системы.Уверенное знание python 3x. Опыт работы с asyncio или tornado. Уверенное знание SQL. Умение работать с git. 
Python Web Developer,https://sergievposad.hh.ru/vacancy/31433957?query=python, Soshace,Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1...
Разработчик Python,https://sergievposad.hh.ru/vacancy/31566378?query=python, Веб Контроль,"Разработка сервисов для поддержки поиска, идентификации и удаления нелегального контента в Интернете. Интеграция с существующими программными продуктами, их развитие и...Высшее техническое образование. Отличное знание и опыт разработки на Python, Django. Опыт работы с очередями сообщений (RabbitMQ). Опыт работы с..."
Разработчик Python,https://sergievposad.hh.ru/vacancy/31814809?query=python,ООО АТФ,"Разработка с “нуля” системы. Разработка и поддержка “умных” high load сервисов на основе алгоритмов машинного обучения (в частности, систем рекомендаций...Широкий опыт разработки на Python (2.x, 3.x) управление зависимостями (pip/easyinstall), pandas, numpy, sklearn, seaborn. Знание tensorflow или..."
Python developer / Python разработчик,https://sergievposad.hh.ru/vacancy/30047806?query=python, TalentTech,"Разработкой новых и поддержкой существующих сервисов компании. Участвовать в разработке архитектуры продуктов. Разработкой новых микросервисов.Владение языком Python на уровне не ниже middle. Способность работать как в команде, так и не бояться проявить инициативу, принимая..."
Python - разработчик,https://sergievposad.hh.ru/vacancy/31891911?query=python, Bravelife,Разработка back-end части на Django (и Aiohttp). Разработка архитектуры проектов и отдельных компонент. Развитие инфраструктуры.Опыт разработки на Python от 3х лет. Базовые знания Linux. Понимание принципов работы БД (Postgres). Знание основных паттернов проектирования. 
Python Data Scientist,https://sergievposad.hh.ru/vacancy/31554742?query=python, Web Interactive World,"Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение...Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Отличное владение Python и ML-стеком (statsmodels, sklearn..."
